Gene	Cluster
Zfp30	Cluster_1
Zfp74	Cluster_1
Arhgap33	Cluster_1
Kmt2b	Cluster_1
Scn1b	Cluster_1
Uba2	Cluster_1
Lsm14a	Cluster_1
Gpatch1	Cluster_1
Cep89	Cluster_1
Dpy19l3	Cluster_1
Zfp507	Cluster_1
Zfp141	Cluster_1
Zfp975	Cluster_1
Lrrc4b	Cluster_1
Kcnc3	Cluster_1
Pnkp	Cluster_1
Ap2a1	Cluster_1
Scaf1	Cluster_1
Ppfia3	Cluster_1
Car11	Cluster_1
Lmtk3	Cluster_1
Kcnc1	Cluster_1
Gtf2h1	Cluster_1
Zdhhc13	Cluster_1
Prmt3	Cluster_1
Tubgcp5	Cluster_1
Nipa2	Cluster_1
Mphosph10	Cluster_1
Adamts17	Cluster_1
Man2a2	Cluster_1
Ap3b2	Cluster_1
Homer2	Cluster_1
Sh3gl3	Cluster_1
Efl1	Cluster_1
Cemip	Cluster_1
Sytl2	Cluster_1
Ankrd42	Cluster_1
Nars2	Cluster_1
Spcs2	Cluster_1
Pgm2l1	Cluster_1
C2cd3	Cluster_1
Mrpl48	Cluster_1
Atg16l2	Cluster_1
Clpb	Cluster_1
Rnf121	Cluster_1
Cckbr	Cluster_1
Apbb1	Cluster_1
Timm10b	Cluster_1
Tmem41b	Cluster_1
Ipo7	Cluster_1
Tead1	Cluster_1
Rras2	Cluster_1
Copb1	Cluster_1
1110004F10Rik	Cluster_1
Rps13	Cluster_1
Syt17	Cluster_1
Vps35l	Cluster_1
Knop1	Cluster_1
Dcun1d3	Cluster_1
Uqcrc2	Cluster_1
Vwa3a	Cluster_1
Eef2k	Cluster_1
Gga2	Cluster_1
Gsg1l	Cluster_1
Xpo6	Cluster_1
Eif3c	Cluster_1
Sez6l2	Cluster_1
Maz	Cluster_1
Zfp771	Cluster_1
Prr14	Cluster_1
Srcap	Cluster_1
Mcmbp	Cluster_1
Tacc2	Cluster_1
Gpr26	Cluster_1
Edrf1	Cluster_1
Dhx32	Cluster_1
Glrx3	Cluster_1
Stk32c	Cluster_1
Tubgcp2	Cluster_1
Caly	Cluster_1
Zfp941	Cluster_1
B4galnt4	Cluster_1
Chid1	Cluster_1
Cttn	Cluster_1
Evi5l	Cluster_1
Ctxn1	Cluster_1
Timm44	Cluster_1
Ccl25	Cluster_1
Efnb2	Cluster_1
Col4a1	Cluster_1
Col4a2	Cluster_1
Atp11a	Cluster_1
Cul4a	Cluster_1
Dcun1d2	Cluster_1
Tfdp1	Cluster_1
Kbtbd11	Cluster_1
Ikbkb	Cluster_1
Dctn6	Cluster_1
Saraf	Cluster_1
Gm19410	Cluster_1
Prag1	Cluster_1
Lonrf1	Cluster_1
Ufsp2	Cluster_1
Cfap97	Cluster_1
Acsl1	Cluster_1
Trappc11	Cluster_1
Cdkn2aip	Cluster_1
Wwc2	Cluster_1
Vegfc	Cluster_1
Spcs3	Cluster_1
Glra3	Cluster_1
Fbxo8	Cluster_1
Hpf1	Cluster_1
Npy1r	Cluster_1
Naf1	Cluster_1
Sugp1	Cluster_1
Crtc1	Cluster_1
Tmem59l	Cluster_1
Ssbp4	Cluster_1
